Track Name,Artist Name,Track ID,Album ID,Artist ID,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Time Signature,Mode,Duration (ms),Popularity
What A Time (feat. Niall Horan),Julia Michaels,5WtfUKzXircvW8l5aaVZWT,1xJ7jIK1tT0aVoJw1fPE6r,0ZED1XzwlLHW4ZaG4lOT6m,pop,0.516,0.467,-6.184,0.0302,0.662,0,0.0853,0.386,132.861,0,4,1,173307,84
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,5658aM19fA3JVwTK6eQX70,4GNC7GD6oZMSxPGyXy4MNB,pop,0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,1,4,1,182161,87
Set Fire to the Rain,Adele,7j4OmvkjRz0PrjFADlHfQx,4HYlttFwVHZaz7gguxaN9H,4dpARuHxo51G3z768sgnrY,pop,0.603,0.67,-3.882,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,2,4,0,242974,41
Kiss Me More (feat. SZA),Doja Cat,3DarAbFujv6eYNliUTyqtz,1nAQbHeOWTfQzbOoFrvndW,5cj0lLjcoR7YOSnhnX0Po5,pop,0.764,0.705,-3.463,0.0284,0.259,8.92e-05,0.12,0.781,110.97,8,4,1,208667,87
THATS WHAT I WANT,Lil Nas X,0e8nrvls4Qqv5Rfa2UhqmO,6pOiDiuDQqrmo5DbG0ZubR,7jVv8c5Fj3E9VhNjxT4snq,pop,0.737,0.846,-4.51,0.22,0.00614,0,0.0486,0.546,87.981,1,4,0,143901,95
STAY (with Justin Bieber),The Kid LAROI,5PjdY0CKGZdEuoNab3yDmX,4bZJWQhHKJckFLJuYdvyX2,2tIP7SsRs7vjIcLrU85W8J,pop,0.591,0.764,-5.484,0.0483,0.0383,0,0.103,0.478,169.928,1,4,1,141806,93
Bored,Billie Eilish,04sN26COy28wTXYj3dMoiZ,4iyJ8i3eKbez8JXDbsHIdZ,6qqNVTkY8uBg9cP3Jd7DAH,pop,0.614,0.318,-12.695,0.0478,0.896,0.00239,0.0795,0.112,119.959,7,4,1,180933,87
Life Goes On,Oliver Tree,0eu4C55hL6x29mmeAjytzC,5vP0fNictdWyU48o83Q7ob,6TLwD7HPWuiOzvXEa3oCNe,pop,0.7,0.49,-5.187,0.076,0.186,0,0.117,0.569,79.982,0,4,1,161803,94
Lose my mind,Myra Granberg,5D2ZobLrLLFcPoOWw5YE0e,2uRRdTqrjo0LdSS5WIrB1M,6HYjkczJfUdGcwIGPOq5P2,pop,0.716,0.691,-5.848,0.043,0.0254,0,0.102,0.343,128.03,5,4,1,173855,62
Iko Iko (My Bestie),Justin Wellington,7MC4XR9M9amdmKQr2iDF7i,0IVeq4oFSUAAXmdQqXFTrU,5lTjv8Ag00qHSGhvK4JbeF,pop,0.862,0.753,-5.356,0.0625,0.131,2.01e-06,0.077,0.827,105.039,5,4,1,182857,83
